Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
50.75,0.027504387121382586,0.027514473474397647,71.25,73.75
50.95,0.027504377858564865,0.027514473522838926,71.25,73.75
51.15,0.011018940950755115,0.045717073838224806,71.25,73.75
51.35,0.027504395881444894,0.02751447339399363,71.25,73.75
51.55,0.027504386358553345,0.02751447337130843,71.25,73.75
51.75,0.02750439272297132,0.02751447342696487,71.25,73.75
51.95,0.027504373606691383,0.027514473531354174,71.25,73.75
52.15,0.027504382898874455,0.027514473524067915,71.25,73.75
52.35,0.02750438247852524,0.02751447345748725,71.25,73.75
52.55,0.02750438309427287,0.027514473341311824,71.25,73.75
52.75,0.027504378174569074,0.027514473464941,71.25,73.75
52.95,0.02750438122272697,0.027514473464097505,71.25,73.75
53.15,0.027504379163989782,0.027514473553902415,71.25,73.75
53.35,0.02750438353949807,0.027514473533167456,71.25,73.75
53.55,0.12038524684690848,0.08313111006172542,71.25,73.75
53.75,0.02750438036381456,0.02751447341215488,71.25,73.75
53.95,0.027504367800708,0.027514473474039926,71.25,73.75
54.15,0.027504388390662375,0.027514473538884376,71.25,73.75
54.35,0.027504386947806585,0.027514473393464297,71.25,73.75
54.55,0.027504395060377485,0.02751447343779454,71.25,73.75
54.75,0.027504379015876004,0.027514473429228765,71.25,73.75
54.95,0.027504399410940863,0.027514473408211088,71.25,73.75
55.15,0.027504399226777422,0.027514473370538504,71.25,73.75
55.35,0.027504390811437778,0.02751447358626904,71.25,73.75
55.55,0.027504380836272466,0.027514473381396808,71.25,73.75
55.75,0.027504386324781253,0.027514473494861313,71.25,73.75
55.95,0.02750438941222644,0.027514473400553435,71.25,73.75
56.15,0.009025864777523533,0.060165986132652303,71.25,73.75
56.35,0.02750438901435073,0.02751447349930543,71.25,73.75
56.55,0.02750437356284665,0.027514473477055084,71.25,73.75
56.75,0.027504372936885155,0.027514473535282424,71.25,73.75
56.95,0.027504387386847226,0.027514473513489082,71.25,73.75
57.15,0.02750437792963506,0.027514473397301335,71.25,73.75
57.35,0.02750439149295301,0.027514473487591964,71.25,73.75
57.55,0.027504378013655885,0.02751447346964029,71.25,73.75
57.75,0.027504379511023663,0.0275144734879449,71.25,73.75
57.95,0.02750438469491835,0.027514473433056047,71.25,73.75
58.15,0.027504374642145377,0.027514473638459082,71.25,73.75
58.35,0.027504373035506086,0.02751447334758068,71.25,73.75
58.55,0.010753054552489637,0.04750989769197254,71.25,73.75
58.75,0.027504385286231836,0.02751447346981163,71.25,73.75
58.95,0.027504378850998032,0.027514473441679756,71.25,73.75
59.15,0.02750437240159078,0.02751447354612617,71.25,73.75
59.35,0.027504386771989915,0.027514473566761555,71.25,73.75
59.55,0.027504380287789027,0.02751447331450968,71.25,73.75
59.75,0.027504385132292402,0.027514473451550014,71.25,73.75
59.95,0.02750438468888157,0.02751447346050476,71.25,73.75
60.15,0.027504384976710705,0.027514473411437906,71.25,73.75
60.35,0.027504388347327522,0.027514473345869022,71.25,73.75
60.55,0.027504379603506213,0.027514473501613325,71.25,73.75
60.75,0.027504387272424196,0.027514473476379697,71.25,73.75
60.95,0.02750438248317989,0.027514473437031423,71.25,73.75
61.15,0.011382887615430846,0.03922457208542457,71.25,73.75
61.35,0.02750438167973248,0.02751447347065132,71.25,73.75
61.55,0.02750437927730531,0.02751447346868806,71.25,73.75
61.75,0.027504396155814508,0.02751447352528454,71.25,73.75
61.95,0.027504374223899394,0.027514473433425234,71.25,73.75
62.15,0.02750438283065692,0.027514473522715216,71.25,73.75
62.35,0.0275043799229486,0.027514473417936808,71.25,73.75
62.55,0.027504378527150018,0.027514473376028768,71.25,73.75
62.75,0.027504388394038168,0.027514473484882826,71.25,73.75
62.95,0.027504394396366975,0.027514473416361308,71.25,73.75
63.15,0.027504392887709346,0.02751447338139471,71.25,73.75
63.35,0.02750436921547472,0.02751447335248045,71.25,73.75
63.55,0.011400791525247568,0.03407990463095212,71.25,73.75
63.75,0.027504384846220517,0.027514473655940695,71.25,73.75
63.95,0.02750438295465516,0.027514473464848015,71.25,73.75
64.15,0.027504372506124423,0.027514473553059006,71.25,73.75
64.35,0.027504379974804257,0.027514473420529588,71.25,73.75
64.55,0.027504391491691215,0.027514473368753147,71.25,73.75
64.75,0.027504393960403738,0.027514473293317857,71.25,73.75
64.95,0.02750438126841746,0.027514473460952534,71.25,73.75
65.15,0.027504375972533867,0.02751447349052041,71.25,73.75
65.35,0.027504391321727873,0.027514473401590897,71.25,73.75
65.55,0.02750438660681557,0.027514473394639315,71.25,73.75
65.75,0.027504380750828856,0.027514473480976562,71.25,73.75
65.95,0.02750437833521255,0.027514473463677153,71.25,73.75
66.15,0.011185964403367261,0.0311948309779283,71.25,73.75
66.35,0.027504378664806203,0.027514473476509704,71.25,73.75
66.55,0.027504393741306605,0.027514473488436907,71.25,73.75
66.75,0.027504384937504147,0.027514473420029995,71.25,73.75
66.95,0.027504389551026843,0.02751447351505895,71.25,73.75
67.15,0.027504383578023955,0.027514473496745587,71.25,73.75
67.35,0.02750438135967186,0.027514473395040765,71.25,73.75
67.55,0.027504395233673488,0.02751447365237603,71.25,73.75
67.75,0.02750438817360305,0.027514473329441427,71.25,73.75
67.95,0.02750437871643206,0.0275144734828929,71.25,73.75
68.15,0.02750437851160177,0.027514473512588185,71.25,73.75
68.35,0.02750437956677657,0.027514473530283672,71.25,73.75
68.55,0.010948431997761769,0.029765201234225554,71.25,73.75
68.75,0.027504364873440466,0.027514473427047836,71.25,73.75
68.95,0.027504378862232712,0.02751447346129729,71.25,73.75
69.15,0.027504386024606146,0.027514473612301246,71.25,73.75
69.35,0.027504381828106595,0.02751447338768352,71.25,73.75
69.55,0.027504385627004708,0.027514473536671986,71.25,73.75
69.75,0.02750438259844013,0.02751447352181207,71.25,73.75
69.95,0.027504377711248727,0.02751447340123076,71.25,73.75
70.15,0.027504380274515187,0.027514473461938443,71.25,73.75
70.35,0.02750437280602935,0.027514473616473967,71.25,73.75
70.55,0.027504391883666948,0.02751447343047645,71.25,73.75
70.75,0.02750438266536912,0.027514473486671773,71.25,73.75
70.95,0.02750438363657439,0.027514473428483163,71.25,73.75
71.15,0.011074105766348869,0.032339691924609955,71.25,73.75
71.35,0.027504379283609798,0.027479232123209085,71.25,73.75
