Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
69.4,2.322447137077788,2.311116603375352,2.2992236646691806,2.288999194989752,2.279960233127757
69.6,2.315733233668792,2.3044664415576053,2.292640408913752,2.2824734594813574,2.2734853488630478
69.8,2.3073148573491484,2.3073148585346313,2.3073148586140717,2.3073148577035636,2.3073148561486683
70.0,2.335069004361742,2.32361866230685,2.3115999687533275,2.301267386750799,2.2921328481956804
70.2,2.8479163895115045,2.8315970798398236,2.814467741063187,2.7997414896416437,2.7867227190343087
70.4,3.4819347831260328,3.4595961151148877,3.436148639896236,3.415990628132155,3.398169899569166
70.6,3.8976247767767944,3.871339562589337,3.8437496509636846,3.8200303494280785,3.79906125677416
70.8,3.9977847756356324,3.997784770344984,3.9977847619556375,3.9977847523601917,3.9977847420514285
71.0,4.013757720985055,3.9863699622456195,3.957622779740236,3.9329085615562738,3.9110599108416864
71.2,4.061980309098848,4.034134723337007,4.004906987630349,3.9797796322550822,3.9575657459685285
71.4,4.072947800489362,4.044998091181335,4.015661063614217,3.990439749001618,3.96814279786409
71.6,4.074747631095067,4.046780836166727,4.017425876352012,3.9921891464253654,3.969878568244935
71.8,4.093369700893019,4.093369697611531,4.093369691236577,4.093369683293523,4.093369674384723
72.0,4.071038224308098,4.043106646671464,4.013788652198505,3.9885837017158803,3.9663012182111124
72.2,4.072924638757456,4.044975149655343,4.0156383532211235,3.9904172373129336,3.968120461838422
72.4,4.072193479266085,4.044250931773862,4.014921421504746,3.9897065695801293,3.9674153317921133
72.6,4.069148465940538,4.041234829718555,4.011935667202982,3.986746906727483,3.964478736028371
72.80000000000001,4.093140646524275,4.09314064393942,4.093140638295903,4.093140630981862,4.093140622629289
73.0,4.090852408542588,4.062732707204507,4.033217251368646,4.007842541597107,3.985409982126344
73.2,3.928181963876016,3.9016071311578706,3.873713218939866,3.8497325598385506,3.8285324094954447
73.4,13.835605283279213,13.714968997084195,13.588344783723688,13.479484776402632,13.383246882152035
73.6,16.474732420408305,16.329040632238648,16.176117261433827,16.044647629004988,15.928421655950157
73.80000000000001,17.127771593362667,17.12777156097376,17.12777151116075,17.127771455046155,17.127771395255227
74.0,17.250562833161155,17.097505437634474,16.936850857522487,16.798734631969328,16.676632725032356
74.2,17.332731269409752,17.17889375900276,17.017420334295807,16.87860013395643,16.755875871949723
74.4,17.208353931050382,17.055697262820896,16.89546329275185,16.75770866297646,16.635926420593123
74.6,17.07394682167296,16.922566208492455,16.76367163977264,16.627068512238502,16.506304262412634
74.80000000000001,16.854171497127318,16.854171460311566,16.854171406122465,16.854171346472985,16.85417128373118
75.0,16.008291738200114,15.867028416069697,15.71875332251224,15.591279856159618,15.478586700600887
75.2,15.2739644621697,15.139672814915315,14.99871543612555,14.87753307048838,14.770401569638873
75.4,14.82150275065007,14.691506745652031,14.555058228708898,14.437752173486338,14.33404753228759
75.6,14.460082323290237,14.333517616558078,14.200670720992697,14.08646101842152,13.985493717649017
75.80000000000001,13.893853409867251,13.893853395583463,13.893853367971307,13.893853333629353,13.893853295144858
76.0,13.148043326381751,13.033935084610148,12.914162945730913,12.811193732493619,12.72016360752657
76.2,12.733958018447103,12.623781062807502,12.508135338233558,12.408713636558348,12.320819692164783
76.4,12.261645011507541,12.155952172759118,12.045013139761505,11.949637824490248,11.865321095702004
76.6,11.69527952446834,11.594963762913016,11.489668709810667,11.399145580451032,11.319118438860661
76.80000000000001,11.589949193647318,11.58994911908002,11.589949030469763,11.589948945600996,11.589948863914547
77.0,10.013205886135257,9.928859697323963,9.840326885965318,9.764214410900411,9.696927035377575
77.2,9.760658341493201,9.678709780374676,9.592693601259603,9.518744694368783,9.453370022509116
77.4,9.878332293017168,9.79526651612199,9.708077667102728,9.633120605235204,9.566854672209587
77.6,9.846843875861154,9.764077036532292,9.677201967393364,9.602514668500785,9.536487222545848
77.80000000000001,9.371923531332229,9.371923486624677,9.371923431549032,9.37192337735275,9.371923324194068
78.0,8.033535889549018,7.9679845556536115,7.899179504355792,7.840027166997769,7.78773343306578
78.2,7.107544951413174,7.050784946793009,6.99120758904644,6.939988381887012,6.894707944187769
78.4,6.901448694735109,6.846645308632275,6.789121689093767,6.739668100149691,6.695948560914105
78.6,6.3541077629130704,6.304500816949925,6.2524315713839655,6.207667160096858,6.1680930986057
78.80000000000001,5.651313509653495,5.651313509747399,5.651313505375188,5.651313497859758,5.651313488337418
79.0,4.993479054779886,4.956789885711451,4.91827960651702,4.885171964090568,4.855903091090212
79.2,4.788410862286559,4.7536685775258425,4.717201816664565,4.685851004240785,4.658135258915525
79.4,4.550624517539302,4.518139774069618,4.484042610256675,4.454728962313989,4.428814176067927
79.6,4.4570424787602345,4.425446185270126,4.3922815724004085,4.363769648536464,4.33856362901552
79.80000000000001,4.202820152065509,4.202820137353312,4.20282011887207,4.202820100430212,4.2028200821702635
80.0,3.667884805097697,3.643780767447741,3.618480297477739,3.59672924993766,3.5775001958048676
80.2,3.5680822067227576,3.54492566101737,3.5206197117155433,3.4997236618040675,3.4812504692000235
80.4,3.2943168261487563,3.273759408596527,3.2521815982536904,3.233630954597926,3.2172312227774538
80.6,3.0976679408574097,3.078977504259325,3.059359345676226,3.0424934335670795,3.0275830924369243
