Z1[L],C1[M L^-3  or microS/cm],Z2[L],C2[M L^-3  or microS/cm],Z3[L],C3[M L^-3  or microS/cm],Z4[L],C4[M L^-3  or microS/cm],Z5[L],C5[M L^-3  or microS/cm]
50.184,1.5859993345266048,48.721,1.5145316838819753,48.162,1.4853717482457,48.042,1.600689448343033,54.117,1.4469335097688087
50.301,1.584658102728173,48.797,1.5118352016456698,48.276,1.467738076153833,48.34,1.5513265007927686,54.424,1.4479858393806837
50.522,1.5939778706324261,48.935,1.5179588004231448,48.381,1.4729281801926333,48.386,1.521419057737927,54.834,1.4484019966616812
50.764,1.6240195623277713,48.988,1.5186628183037043,48.468,1.4800776434352259,48.557,1.4855767549713648,55.179,1.4483695019047673
50.986,1.6372960044074574,49.145,1.517563622419027,48.525,1.4832064462502301,48.71,1.4506727583261978,55.236,1.4479385233679807
51.252,1.6465704663222396,49.267,1.515172118701392,48.557,1.4839681604543813,48.877,1.4445519881603872,55.323,1.448311923594116
51.464,1.6471210192987313,49.422,1.5150263037669673,48.709,1.487332239363647,49.078,1.4504196163301686,55.536,1.4477321583376466
51.733,1.6497997707731116,49.525,1.5158354459736956,48.842,1.4892540680012445,49.301,1.4354318638675125,55.647,1.4475896421852865
51.886,1.6517210117809327,49.613,1.5171878953999596,48.932,1.4912937325506932,49.538,1.4374260685006477,55.732,1.4471860414677906
52.159,1.6795701817179947,49.671,1.5170071827260414,49.079,1.4867417321523733,49.662,1.4375286324973189,55.849,1.4471210556059475
52.407,1.728718564150563,49.769,1.518082902659853,49.118,1.4779168609150133,49.784,1.4387372143749162,55.856,1.4469756931911462
52.651,1.7346066348136815,49.892,1.517161589031727,49.218,1.47641157517225,49.941,1.4375274928947193,55.871,1.4472743997467887
52.891,1.7375244078704952,49.989,1.517429229212135,49.331,1.4742802629685259,50.083,1.4395959690731928,56.083,1.4472738296922358
53.16,1.7405327081991686,50.119,1.5171918985457267,49.371,1.4729555748784038,50.221,1.4435967161241592,56.255,1.4466228370633871
53.355,1.7439124175412757,50.211,1.5164822094452177,49.435,1.4728385769805812,50.407,1.4445023996262223,56.421,1.4466325277051226
53.563,1.7536465502272507,50.288,1.5154162894166716,49.526,1.4722461777063303,50.618,1.44437301397883,56.588,1.4464609469759693
53.735,1.7678183235295593,50.401,1.5157216496060868,49.672,1.4729909597315696,50.811,1.4444391316592173,56.721,1.4463919730412442
53.908,1.7851418485437933,50.513,1.5209300129243672,49.798,1.4725452289018535,50.992,1.4442464789738694,56.954,1.4462967779670124
53.806,1.7710229355796627,50.599,1.5274989987412966,49.865,1.4729424482538633,51.162,1.4443439450617432,57.17,1.4463383901342468
53.994,1.7992700007624307,50.755,1.5276963906298051,49.962,1.4723226522418031,51.285,1.4455688628272896,57.318,1.4469238189940625
54.07,1.8059538922093252,50.87,1.5286633505752263,50.082,1.4725457996141444,51.487,1.4444169024168445,57.47,1.4471153551009395
54.25,1.8457721922034551,50.997,1.529474142287168,50.164,1.471200101352275,51.634,1.4447104442280563,57.487,1.44683261191214
54.434,1.8628069458272107,51.078,1.5298901353186154,50.18,1.4708736764051706,51.796,1.4479373832243567,57.604,1.4464130642213973
54.636,1.8773326846841343,51.165,1.5304148585971091,50.265,1.4693842816505167,52.035,1.4530543746682922,57.82,1.445458851129601
54.738,1.8834196718808045,51.293,1.5315187069459995,50.383,1.4680519012802704,52.218,1.4544058018492563,58.021,1.4469597318866618
54.84,1.8903304656552848,51.436,1.531815708326772,50.464,1.4679566120847796,52.529,1.454730270820113,58.124,1.446541321834772
55.058,1.9201689589500603,51.583,1.5315913832112726,50.476,1.4677260938290175,52.789,1.4536987156327768,58.234,1.446500849351318
55.267,1.94356631020687,51.719,1.5316663487461255,50.491,1.4672776172419049,52.941,1.4534826027028855,58.344,1.446511109973855
55.47,1.9709320455199446,51.785,1.5314631984653175,50.528,1.4676975645105954,53.175,1.453513964605412,58.502,1.447291501390302
55.629,1.9930210223655878,51.897,1.5319759419626138,50.742,1.4694265083061566,53.421,1.453367989586178,58.705,1.4473775798651616
55.847,2.0602046690567533,51.99,1.531570209786193,50.926,1.470628860887149,53.67,1.4489184987376291,58.955,1.4476540593714362
56.126,2.135348402104145,52.096,1.533348849045319,50.948,1.4709233246411428,53.943,1.4516625487814934,59.243,1.4445269088877155
56.227,2.1566217631978275,52.15,1.5378561849311438,50.955,1.4707857935967041,54.182,1.4497092379599223,59.436,1.444316586116153
56.236,2.158684933523446,52.344,1.5406846912938448,50.901,1.4728374355407539,54.315,1.4500273660376024,59.535,1.4443781437917267
56.267,2.1767300234193643,52.454,1.546203079418234,50.96,1.4729715551275944,54.519,1.4506624957560006,59.752,1.4444989797314491
56.384,2.2179320320607756,52.622,1.5464916909102555,51.022,1.4717085806721741,54.806,1.4510929576865776,59.98,1.4488945546638405
56.59,2.232097526592997,52.827,1.5487474586222192,51.109,1.470257362844913,55.05,1.4511437014379254,60.08,1.44909180900367
56.832,2.3224948046556704,52.966,1.5511174398321146,51.207,1.4713713051923747,55.259,1.4560561385818573,60.269,1.448342708018626
57.052,2.452075969167217,53.012,1.550902080498264,51.3,1.4710425950012394,55.485,1.4575891127624288,60.429,1.448363801075186
57.237,2.467597602762794,53.105,1.5491712643024698,51.352,1.4729909597315696,55.609,1.4573370315172496,60.566,1.449797036287214
57.434,2.6071498464573866,53.186,1.5503276084152873,51.435,1.4788953235969386,55.835,1.459218015320556,60.66,1.4501533642764115
57.667,2.715125242393168,53.245,1.5497056148147208,51.474,1.4788850477990052,56.011,1.4618914802121226,60.842,1.4511779107747742
57.84,2.734508242292287,53.374,1.5516884960141766,51.493,1.4784060867905737,56.222,1.4619228541493983,60.91,1.4519231174089071
57.873,2.749624245847059,53.519,1.5521180867420725,51.625,1.4811452685919193,56.396,1.4650131218660931,61.107,1.4535225178593407
57.907,2.797018442033726,53.66,1.5550360907722847,51.757,1.4824778748541632,56.64,1.4643102573196018,61.273,1.4542250365093168
58.001,2.81278039704857,53.711,1.5543864660042175,51.897,1.4822689003861398,56.788,1.4655397145433995,61.458,1.4510023034119057
58.181,2.8204293404119,53.857,1.5547553863390449,52.011,1.4838345445017467,57.032,1.4682498987184318,61.585,1.452395797944078
58.45,2.8635507581741053,53.98,1.5556433412898258,52.043,1.4841343250204004,57.165,1.468693830314524,61.738,1.4573837975020638
58.72,2.871271070851526,54.089,1.5554823609686537,52.094,1.483871088954777,57.379,1.4703686403993543,61.94,1.457785875025084
59.012,2.89879246540024,54.235,1.558235230676388,52.131,1.4844997773006554,57.556,1.4738636139582924,62.123,1.4593309479267789
59.263,2.8968854627678184,54.299,1.558994407774827,52.229,1.4858034638089124,57.712,1.475181507601485,62.262,1.457714013820049
59.543,2.9107971081207267,54.421,1.559448207757842,52.293,1.4853797429009745,57.931,1.4742951026684978,62.386,1.4574910174536484
59.83,2.9122643568852227,54.557,1.5586775555548769,52.311,1.4851227732999832,58.083,1.4726456744942595,62.539,1.4552623190878506
60.138,2.911529497663403,54.657,1.5582638783891412,52.352,1.4855447760799678,58.332,1.475780265041405,62.665,1.4582415718017274
60.371,2.9145650095116507,54.765,1.5594184125199178,52.525,1.4836672402066853,58.439,1.4771313822554872,62.729,1.4588478514133327
60.591,2.915778973773217,54.902,1.5588173595837334,52.663,1.4850456830079253,58.662,1.4797847692697927,62.865,1.4592739111842348
60.602,2.915419114752132,55.006,1.560899055885892,52.765,1.4854602606633136,58.754,1.4800776434352259,62.981,1.459896760453077
60.628,2.9154869315029885,55.065,1.5619093203186822,52.805,1.4921408403746284,58.989,1.4780858338440765,63.131,1.4597290685239301
60.655,2.915207723439616,55.147,1.5606595332336497,52.881,1.4925669771389436,59.143,1.4801358761923353,63.248,1.4602241626796455
60.704,2.9159384379439333,55.219,1.5618909827140868,53.017,1.4934752587942342,59.443,1.4784728781023346,63.435,1.4578115397982656
60.898,2.9174512709855662,55.303,1.5628233548322812,53.14,1.4962077572823973,59.696,1.4778163911429005,63.554,1.4574630717774313
61.195,2.9169080801752187,55.36,1.564185595214471,53.248,1.4959055260506715,59.885,1.4766884212503726,63.613,1.458494804143612
61.478,2.915675719858194,55.429,1.5630245048734763,53.321,1.4954439030404472,60.179,1.479406836077723,63.711,1.457101492159427
61.567,2.9161473928765984,55.498,1.565719292007816,53.418,1.4980383736680636,60.305,1.4794525074160334,63.748,1.4573068047752797
61.583,2.9159928148993486,55.555,1.5661629150016352,53.507,1.5006102942276356,60.553,1.4812417570669254,63.816,1.4573712505207368
61.86,2.9156586127509967,55.62,1.567276597498767,53.624,1.500205715253,60.729,1.4815323669364802,63.938,1.4578685727351626
62.14,2.9151368528526094,55.666,1.567557463104481,53.725,1.5015903435243985,60.953,1.481258314303605,64.05,1.4607255424689014
62.364,2.9158443478231475,55.73,1.5674932649328297,53.789,1.4998280006762001,61.148,1.4835638890455614,64.183,1.4618943323863847
62.647,2.915222997305176,55.825,1.5676652247460567,53.9,1.500583436351954,61.401,1.4807244924615048,64.311,1.4633250297929066
62.883,2.9160025905471114,55.88,1.5672083878261531,54.012,1.5005777219145728,61.572,1.4846242608766544,64.439,1.465422756246528
63.101,2.9098619599085027,55.918,1.5679374972235194,54.143,1.4995925752227408,61.772,1.4842856443650958,64.603,1.4630472116244277
63.316,2.8868857627159827,55.98,1.5678732979330818,54.22,1.5010908843435118,61.922,1.4861792231742186,64.683,1.4635229845179083
63.523,2.8895368614717425,56.029,1.568423583698427,54.211,1.5010714548117818,62.098,1.48766861858212,64.799,1.4624870222514175
63.689,2.888915088528995,56.076,1.5694525406950617,54.245,1.5009600210660665,62.332,1.4896418809287013,64.893,1.463224056457679
63.854,2.8945574998976156,56.136,1.5692467454114307,54.287,1.5020035203221425,62.562,1.4874995716733337,64.99,1.4663287714658508
64.002,2.8940991409069143,56.207,1.5695786557562712,54.346,1.5018903673940316,62.824,1.4953107883132843,65.141,1.465511758601025
64.149,2.890654757840076,56.326,1.5702379054482691,54.513,1.5013709000998177,63.041,1.496868224183308,65.208,1.4670676466262562
64.328,2.886610605028025,56.372,1.5697684029726475,54.63,1.5018189327660907,63.261,1.4941687772150658,65.274,1.4665261827757632
64.482,2.8860535898011563,56.441,1.5703084176822188,54.727,1.5005634358276552,63.512,1.4920751497885931,65.345,1.466874224388795
64.659,2.888512380107713,56.519,1.5712474559996878,54.806,1.5014954796905045,63.616,1.492782333593334,65.456,1.4657200027020507
